updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,election_day,absentee_mail,one_stop,provisional
2015-10-08 10:15:26.554000,nc-2010-06-22-primary-runoff,2010-06-22 00:00:00,2010-06-22 00:00:00,primary-runoff,certified,False,NC STATE SENATE,21 - DEM,Eric L. Mansfield,,,,,DEM,CUMBERLAND,G5A_AUMAN-G5,ocd-division/country:us/state:nc/county:cumberland/precinct:g5a_auman-g5,194,,,,,2010,159,0,35,0
2015-10-08 10:15:26.554000,nc-2010-06-22-primary-runoff,2010-06-22 00:00:00,2010-06-22 00:00:00,primary-runoff,certified,False,NC STATE SENATE,21 - DEM,Eric L. Mansfield,,,,,DEM,CUMBERLAND,G5C_BRENTWOOD-G5,ocd-division/country:us/state:nc/county:cumberland/precinct:g5c_brentwood-g5,0,,,,,2010,0,0,0,0
2015-10-08 10:15:26.554000,nc-2010-06-22-primary-runoff,2010-06-22 00:00:00,2010-06-22 00:00:00,primary-runoff,certified,False,NC STATE SENATE,21 - DEM,Eric L. Mansfield,,,,,DEM,CUMBERLAND,CL57_CLIFFDALE WEST,ocd-division/country:us/state:nc/county:cumberland/precinct:cl57_cliffdale_west,134,,,,,2010,123,0,11,0
2015-10-08 10:15:26.554000,nc-2010-06-22-primary-runoff,2010-06-22 00:00:00,2010-06-22 00:00:00,primary-runoff,certified,False,NC STATE SENATE,21 - DEM,Eric L. Mansfield,,,,,DEM,CUMBERLAND,CC03_CROSS CREEK #03,ocd-division/country:us/state:nc/county:cumberland/precinct:cc03_cross_creek_~03,19,,,,,2010,18,0,1,0
2015-10-08 10:15:26.554000,nc-2010-06-22-primary-runoff,2010-06-22 00:00:00,2010-06-22 00:00:00,primary-runoff,certified,False,NC STATE SENATE,21 - DEM,Eric L. Mansfield,,,,,DEM,CUMBERLAND,CC04_CROSS CREEK #04,ocd-division/country:us/state:nc/county:cumberland/precinct:cc04_cross_creek_~04,97,,,,,2010,84,0,13,0
2015-10-08 10:15:26.554000,nc-2010-06-22-primary-runoff,2010-06-22 00:00:00,2010-06-22 00:00:00,primary-runoff,certified,False,NC STATE SENATE,21 - DEM,Eric L. Mansfield,,,,,DEM,CUMBERLAND,CC05_CROSS CREEK #05,ocd-division/country:us/state:nc/county:cumberland/precinct:cc05_cross_creek_~05,81,,,,,2010,61,0,20,0
2015-10-08 10:15:26.554000,nc-2010-06-22-primary-runoff,2010-06-22 00:00:00,2010-06-22 00:00:00,primary-runoff,certified,False,NC STATE SENATE,21 - DEM,Eric L. Mansfield,,,,,DEM,CUMBERLAND,CC06_CROSS CREEK #06,ocd-division/country:us/state:nc/county:cumberland/precinct:cc06_cross_creek_~06,60,,,,,2010,47,0,13,0
2015-10-08 10:15:26.554000,nc-2010-06-22-primary-runoff,2010-06-22 00:00:00,2010-06-22 00:00:00,primary-runoff,certified,False,NC STATE SENATE,21 - DEM,Eric L. Mansfield,,,,,DEM,CUMBERLAND,CC07_CROSS CREEK #07,ocd-division/country:us/state:nc/county:cumberland/precinct:cc07_cross_creek_~07,91,,,,,2010,76,0,15,0
2015-10-08 10:15:26.554000,nc-2010-06-22-primary-runoff,2010-06-22 00:00:00,2010-06-22 00:00:00,primary-runoff,certified,False,NC STATE SENATE,21 - DEM,Eric L. Mansfield,,,,,DEM,CUMBERLAND,G2A_CROSS CREEK #09-G2,ocd-division/country:us/state:nc/county:cumberland/precinct:g2a_cross_creek_~09-g2,220,,,,,2010,171,0,49,0
2015-10-08 10:15:26.554000,nc-2010-06-22-primary-runoff,2010-06-22 00:00:00,2010-06-22 00:00:00,primary-runoff,certified,False,NC STATE SENATE,21 - DEM,Eric L. Mansfield,,,,,DEM,CUMBERLAND,CC13_CROSS CREEK #13,ocd-division/country:us/state:nc/county:cumberland/precinct:cc13_cross_creek_~13,87,,,,,2010,64,0,23,0
