updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,absentee_by_mail,election_day,one_stop,provisional
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Renee Ellmers,,,,,REP,WILSON,ONE STOP,ocd-division/country:us/state:nc/county:wilson/precinct:one_stop,17,,,,,2016,0,0,17,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Renee Ellmers,,,,,REP,WILSON,ABSENTEE,ocd-division/country:us/state:nc/county:wilson/precinct:absentee,6,,,,,2016,6,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Renee Ellmers,,,,,REP,WILSON,PRBL,ocd-division/country:us/state:nc/county:wilson/precinct:prbl,12,,,,,2016,0,12,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Renee Ellmers,,,,,REP,WILSON,PRCR,ocd-division/country:us/state:nc/county:wilson/precinct:prcr,16,,,,,2016,0,16,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Renee Ellmers,,,,,REP,WILSON,PROL,ocd-division/country:us/state:nc/county:wilson/precinct:prol,24,,,,,2016,0,24,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Renee Ellmers,,,,,REP,WILSON,PRSP,ocd-division/country:us/state:nc/county:wilson/precinct:prsp,30,,,,,2016,0,30,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Renee Ellmers,,,,,REP,WILSON,PRTA,ocd-division/country:us/state:nc/county:wilson/precinct:prta,34,,,,,2016,0,34,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Renee Ellmers,,,,,REP,WILSON,PRTO,ocd-division/country:us/state:nc/county:wilson/precinct:prto,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Renee Ellmers,,,,,REP,WILSON,PRWJ,ocd-division/country:us/state:nc/county:wilson/precinct:prwj,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Renee Ellmers,,,,,REP,WILSON,PRWL,ocd-division/country:us/state:nc/county:wilson/precinct:prwl,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Renee Ellmers,,,,,REP,WILSON,PRWM,ocd-division/country:us/state:nc/county:wilson/precinct:prwm,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Renee Ellmers,,,,,REP,WILSON,PRWP,ocd-division/country:us/state:nc/county:wilson/precinct:prwp,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Greg Brannon,,,,,REP,WILSON,PRWP,ocd-division/country:us/state:nc/county:wilson/precinct:prwp,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Greg Brannon,,,,,REP,WILSON,PRWM,ocd-division/country:us/state:nc/county:wilson/precinct:prwm,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Greg Brannon,,,,,REP,WILSON,PRWL,ocd-division/country:us/state:nc/county:wilson/precinct:prwl,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Greg Brannon,,,,,REP,WILSON,PRWJ,ocd-division/country:us/state:nc/county:wilson/precinct:prwj,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Greg Brannon,,,,,REP,WILSON,PRTO,ocd-division/country:us/state:nc/county:wilson/precinct:prto,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Greg Brannon,,,,,REP,WILSON,PRTA,ocd-division/country:us/state:nc/county:wilson/precinct:prta,11,,,,,2016,0,11,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Greg Brannon,,,,,REP,WILSON,PRSP,ocd-division/country:us/state:nc/county:wilson/precinct:prsp,12,,,,,2016,0,12,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Greg Brannon,,,,,REP,WILSON,PROL,ocd-division/country:us/state:nc/county:wilson/precinct:prol,21,,,,,2016,0,21,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Greg Brannon,,,,,REP,WILSON,PRCR,ocd-division/country:us/state:nc/county:wilson/precinct:prcr,11,,,,,2016,0,11,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Greg Brannon,,,,,REP,WILSON,PRBL,ocd-division/country:us/state:nc/county:wilson/precinct:prbl,11,,,,,2016,0,11,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Greg Brannon,,,,,REP,WILSON,ABSENTEE,ocd-division/country:us/state:nc/county:wilson/precinct:absentee,3,,,,,2016,3,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Greg Brannon,,,,,REP,WILSON,ONE STOP,ocd-division/country:us/state:nc/county:wilson/precinct:one_stop,10,,,,,2016,0,0,10,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,George Holding,,,,,REP,WILSON,ONE STOP,ocd-division/country:us/state:nc/county:wilson/precinct:one_stop,52,,,,,2016,0,0,52,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,George Holding,,,,,REP,WILSON,ABSENTEE,ocd-division/country:us/state:nc/county:wilson/precinct:absentee,5,,,,,2016,5,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,George Holding,,,,,REP,WILSON,PRBL,ocd-division/country:us/state:nc/county:wilson/precinct:prbl,54,,,,,2016,0,54,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,George Holding,,,,,REP,WILSON,PRCR,ocd-division/country:us/state:nc/county:wilson/precinct:prcr,35,,,,,2016,0,35,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,George Holding,,,,,REP,WILSON,PROL,ocd-division/country:us/state:nc/county:wilson/precinct:prol,75,,,,,2016,0,75,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,George Holding,,,,,REP,WILSON,PRSP,ocd-division/country:us/state:nc/county:wilson/precinct:prsp,39,,,,,2016,0,39,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,George Holding,,,,,REP,WILSON,PRTA,ocd-division/country:us/state:nc/county:wilson/precinct:prta,78,,,,,2016,0,78,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,George Holding,,,,,REP,WILSON,PRTO,ocd-division/country:us/state:nc/county:wilson/precinct:prto,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,George Holding,,,,,REP,WILSON,PRWJ,ocd-division/country:us/state:nc/county:wilson/precinct:prwj,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,George Holding,,,,,REP,WILSON,PRWL,ocd-division/country:us/state:nc/county:wilson/precinct:prwl,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,George Holding,,,,,REP,WILSON,PRWM,ocd-division/country:us/state:nc/county:wilson/precinct:prwm,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,George Holding,,,,,REP,WILSON,PRWP,ocd-division/country:us/state:nc/county:wilson/precinct:prwp,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Steven E. Hight,,,,,DEM,WILSON,PRWP,ocd-division/country:us/state:nc/county:wilson/precinct:prwp,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Steven E. Hight,,,,,DEM,WILSON,PRWM,ocd-division/country:us/state:nc/county:wilson/precinct:prwm,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Steven E. Hight,,,,,DEM,WILSON,PRWL,ocd-division/country:us/state:nc/county:wilson/precinct:prwl,0,,,,,2016,0,0,0,0
2017-04-20 08:29:42.398000,nc-2016-06-07-primary,2016-06-07 00:00:00,2016-06-07 00:00:00,primary,certified,False,US HOUSE OF REPRESENTATIVES,2,Steven E. Hight,,,,,DEM,WILSON,PRWJ,ocd-division/country:us/state:nc/county:wilson/precinct:prwj,0,,,,,2016,0,0,0,0
