updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,parent_jurisdiction,jurisdiction,division,votes,votes_type,total_votes,winner,write_in,year,absentee_by_mail,election_day,one_stop,provisional
2015-10-08 09:59:13.531000,nc-2014-07-15-primary-runoff,2014-07-15 00:00:00,2014-07-15 00:00:00,primary-runoff,certified,False,US HOUSE OF REPRESENTATIVES,05,Joshua (Josh) Brannon,,,,,DEM,YADKIN,SKNB,ocd-division/country:us/state:nc/county:yadkin/precinct:sknb,2,,,,,2014,0,2,0,0
2015-10-08 09:59:13.531000,nc-2014-07-15-primary-runoff,2014-07-15 00:00:00,2014-07-15 00:00:00,primary-runoff,certified,False,US HOUSE OF REPRESENTATIVES,05,Joshua (Josh) Brannon,,,,,DEM,YADKIN,NBCK,ocd-division/country:us/state:nc/county:yadkin/precinct:nbck,4,,,,,2014,0,4,0,0
2015-10-08 09:59:13.531000,nc-2014-07-15-primary-runoff,2014-07-15 00:00:00,2014-07-15 00:00:00,primary-runoff,certified,False,US HOUSE OF REPRESENTATIVES,05,Joshua (Josh) Brannon,,,,,DEM,YADKIN,BNVL,ocd-division/country:us/state:nc/county:yadkin/precinct:bnvl,4,,,,,2014,0,4,0,0
2015-10-08 09:59:13.531000,nc-2014-07-15-primary-runoff,2014-07-15 00:00:00,2014-07-15 00:00:00,primary-runoff,certified,False,US HOUSE OF REPRESENTATIVES,05,Joshua (Josh) Brannon,,,,,DEM,YADKIN,FBSH,ocd-division/country:us/state:nc/county:yadkin/precinct:fbsh,4,,,,,2014,0,4,0,0
2015-10-08 09:59:13.531000,nc-2014-07-15-primary-runoff,2014-07-15 00:00:00,2014-07-15 00:00:00,primary-runoff,certified,False,US HOUSE OF REPRESENTATIVES,05,Joshua (Josh) Brannon,,,,,DEM,YADKIN,SBCK,ocd-division/country:us/state:nc/county:yadkin/precinct:sbck,4,,,,,2014,0,4,0,0
2015-10-08 09:59:13.531000,nc-2014-07-15-primary-runoff,2014-07-15 00:00:00,2014-07-15 00:00:00,primary-runoff,certified,False,US HOUSE OF REPRESENTATIVES,05,Joshua (Josh) Brannon,,,,,DEM,YADKIN,SLIB,ocd-division/country:us/state:nc/county:yadkin/precinct:slib,2,,,,,2014,0,2,0,0
2015-10-08 09:59:13.531000,nc-2014-07-15-primary-runoff,2014-07-15 00:00:00,2014-07-15 00:00:00,primary-runoff,certified,False,US HOUSE OF REPRESENTATIVES,05,Joshua (Josh) Brannon,,,,,DEM,YADKIN,NKNB,ocd-division/country:us/state:nc/county:yadkin/precinct:nknb,4,,,,,2014,0,4,0,0
2015-10-08 09:59:13.531000,nc-2014-07-15-primary-runoff,2014-07-15 00:00:00,2014-07-15 00:00:00,primary-runoff,certified,False,US HOUSE OF REPRESENTATIVES,05,Joshua (Josh) Brannon,,,,,DEM,YADKIN,EBND,ocd-division/country:us/state:nc/county:yadkin/precinct:ebnd,9,,,,,2014,0,9,0,0
2015-10-08 09:59:13.531000,nc-2014-07-15-primary-runoff,2014-07-15 00:00:00,2014-07-15 00:00:00,primary-runoff,certified,False,US HOUSE OF REPRESENTATIVES,05,Joshua (Josh) Brannon,,,,,DEM,YADKIN,DCRK,ocd-division/country:us/state:nc/county:yadkin/precinct:dcrk,7,,,,,2014,0,7,0,0
2015-10-08 09:59:13.531000,nc-2014-07-15-primary-runoff,2014-07-15 00:00:00,2014-07-15 00:00:00,primary-runoff,certified,False,US HOUSE OF REPRESENTATIVES,05,Joshua (Josh) Brannon,,,,,DEM,YADKIN,SFAL,ocd-division/country:us/state:nc/county:yadkin/precinct:sfal,3,,,,,2014,0,3,0,0
